mid,member,talk_words,talk_share
2024.10.14startup_a,A3,502,0.04561562925942753
2024.10.14startup_a,A2,1579,0.14348023625624717
2024.10.14startup_a,A1,2225,0.20218082689686506
2024.10.14startup_a,FACILITATOR,6699,0.6087233075874603
2024.10.14startup_b,FACILITATOR,5653,0.4457850327261257
2024.10.14startup_b,B3,2378,0.18752464316694267
2024.10.14startup_b,B1,3307,0.26078384985411246
2024.10.14startup_b,DEVICE,1343,0.10590647425281918
2024.10.25startup_a,FACILITATOR,4876,0.41879240745512325
2024.10.25startup_a,A2,2351,0.20192390277419908
2024.10.25startup_a,A3,1459,0.12531134587305678
2024.10.25startup_a,A1,2957,0.2539723438976209
2024.10.28startup_b,B3,1410,0.1171193620732619
2024.10.28startup_b,B2,2323,0.1929562256001329
2024.10.28startup_b,B1,5257,0.43666417476534597
2024.10.28startup_b,FACILITATOR,3049,0.25326023756125926
2024.11.04startup_a,FACILITATOR,5762,0.5105892778023926
2024.11.04startup_a,A1,3575,0.31679220203810365
2024.11.04startup_a,A2,1369,0.12131147540983607
2024.11.04startup_a,A3,579,0.0513070447496677
2024.11.04startup_b,FACILITATOR,3392,0.3282051282051282
2024.11.04startup_b,B1,4667,0.45157232704402517
2024.11.04startup_b,B3,1025,0.09917755200774069
2024.11.04startup_b,B2,1251,0.12104499274310596
2024.11.11startup_a,FACILITATOR,4307,0.42588747157124496
2024.11.11startup_a,A1,3269,0.3232473054484327
2024.11.11startup_a,A2,1750,0.17304459606447148
2024.11.11startup_a,A3,787,0.07782062691585089
2024.11.11startup_b,FACILITATOR,4878,0.37796373779637377
2024.11.11startup_b,B1,4013,0.31094064776073144
2024.11.11startup_b,B3,1986,0.15388191538819154
2024.11.11startup_b,B2,2029,0.15721369905470323
2024.11.18startup_a,FACILITATOR,4468,0.4098330581544671
2024.11.18startup_a,A3,278,0.025499908273711246
2024.11.18startup_a,A2,1924,0.17648137956338286
2024.11.18startup_a,A1,4232,0.3881856540084388
2024.11.18startup_b,FACILITATOR,3496,0.29532015543166074
2024.11.18startup_b,B3,2233,0.18862983612096637
2024.11.18startup_b,B1,4454,0.3762459874978882
2024.11.18startup_b,DEVICE,1655,0.13980402094948471
2024.12.02startup_b,DEVICE,2765,0.2742511406466971
2024.12.02startup_b,B1,2586,0.2564967268399127
2024.12.02startup_b,B3,1088,0.10791509621106923
2024.12.02startup_b,FACILITATOR,3643,0.36133703630232095
2024.12.09startup_a,A1,5495,0.47436118784530384
2024.12.09startup_a,A3,1587,0.1369993093922652
2024.12.09startup_a,A2,1213,0.10471339779005524
2024.12.09startup_a,FACILITATOR,3289,0.2839261049723757
2024.12.13startup_a,FACILITATOR,5055,0.4794195751138088
2024.12.13startup_a,A2,2534,0.24032625189681336
2024.12.13startup_a,A3,2955,0.2802541729893778
2024.12.16startup_b,FACILITATOR,3812,0.31230542356218255
2024.12.16startup_b,B1,4186,0.3429460920858594
2024.12.16startup_b,B3,1289,0.10560380140914305
2024.12.16startup_b,DEVICE,2919,0.23914468294281502
2024.12.23startup_a,A3,1156,0.11444411444411444
2024.12.23startup_a,A1,3636,0.35996435996435994
2024.12.23startup_a,A2,1952,0.19324819324819326
2024.12.23startup_a,FACILITATOR,3357,0.33234333234333235
2024.12.23startup_b,FACILITATOR,5072,0.4510048017072737
2024.12.23startup_b,B3,1591,0.14147252356393383
2024.12.23startup_b,B1,2172,0.19313533700871421
2024.12.23startup_b,B2,2411,0.21438733772007826
2025.01.06startup_a,A2,3025,0.22303325223033252
2025.01.06startup_a,A1,5163,0.3806679938066799
2025.01.06startup_a,FACILITATOR,5375,0.3962987539629875
2025.01.06startup_b,FACILITATOR,4797,0.3711986380871315
2025.01.06startup_b,B1,6594,0.5102530372204597
2025.01.06startup_b,DEVICE,1532,0.11854832469240888
2025.01.13startup_a,FACILITATOR,5817,0.5107111501316944
2025.01.13startup_a,A2,2064,0.18121158911325724
2025.01.13startup_a,A3,738,0.06479367866549605
2025.01.13startup_a,A1,2771,0.24328358208955222
2025.01.13startup_b,FACILITATOR,6932,0.526827785377717
2025.01.13startup_b,B3,540,0.04103967168262654
2025.01.13startup_b,B1,3013,0.22898616811065511
