mid,cls,entropy,det,rmse_z,entropy_z,det_z,rmse_z_z
2024.10.14startup_a,TRANSITION,54.95458815079413,82.59241518906558,2.555560568133927,1.2346290101233344,0.4167233100270473,-0.8573097946157812
2024.10.14startup_a,INT_OTHER,44.709725325391396,89.44357078496749,3.5044912472624232,0.20304464178645817,1.1892376005158993,0.44324248841840913
2024.10.14startup_a,INT_OTHER,50.497208909577694,70.18750394543422,2.6992728685654015,0.7858028201243087,-0.9820146216706667,-0.6603456068861729
2024.10.14startup_a,INT_HANDOFF,44.0882400653053,79.82997529379543,2.4661641357981483,0.1404655238048182,0.10523946385820472,-0.9798316360175013
2024.10.14startup_a,TRANSITION,36.96007610403779,94.31423513051834,2.8106808805079067,-0.5772895738186354,1.738438061437154,-0.5076559031312105
2024.10.14startup_a,INT_HANDOFF,36.21106111332136,77.30277667724006,2.3724778509961415,-0.6527100229980208,-0.17971933161280507,-1.1082329136536544
2024.10.14startup_a,INT_OTHER,38.07104484448849,81.76906782211292,2.684598209160429,-0.4654229723920029,0.32388530655391695,-0.6804578892811465
2024.10.14startup_a,INT_HANDOFF,25.38263014980448,89.17689607822373,3.3725464343625857,-1.743055526490881,1.1591682174771165,0.26240617294697527
2024.10.14startup_a,TRANSITION,50.582140051571905,62.18800376121068,3.9958486892685676,0.7943547783066072,-1.8840125580155003,1.116670017997098
2024.10.14startup_a,TRANSITION,47.89616863152392,68.19911209800614,2.714011621309004,0.5238966786773249,-1.2062192971780406,-0.6401454816806382
2024.10.14startup_a,TRANSITION,49.90903321298957,66.58754841061227,3.535867841764617,0.7265777368043561,-1.3879340402046558,0.4862455259544531
2024.10.14startup_a,INT_OTHER,44.132933935841415,90.32062570543641,2.4504322825352367,0.14496587671254157,1.2881314951474971,-1.001392850263656
2024.10.14startup_a,INT_HANDOFF,49.45880061163997,82.5903837208754,2.9340975442410144,0.6812425359741161,0.41649424820154624,-0.338507800627064
2024.10.14startup_a,TRANSITION,23.11569371217884,78.00439935307824,3.576956695867591,-1.9713198022476397,-0.10060661317735856,0.542559653199195
2024.10.14startup_a,INT_HANDOFF,40.788131627031206,87.20986912677695,2.9771177547260272,-0.1918317784390846,0.9373725789897496,-0.27954666237586984
2024.10.14startup_a,INT_HANDOFF,22.609909295008322,93.86869854356976,2.455090759625635,-2.022248673370028,1.6882007875151777,-0.9950081973605122
2024.10.14startup_a,TRANSITION,59.82750190596541,68.72511171241543,2.7607282925964256,1.7252965518715895,-1.1469092708277622,-0.5761181772263086
2024.10.14startup_a,INT_HANDOFF,44.603725840834535,73.26690442579057,3.4400371317532445,0.19237125228538152,-0.6347913184024603,0.35490521687672183
2024.10.14startup_a,INT_HANDOFF,53.51354255787638,73.94667122015159,2.407741849764499,1.0895260318746958,-0.5581429989338742,-1.0599020132877577
2024.10.14startup_a,INT_HANDOFF,27.61123376947674,89.0484078261742,2.4153579322312604,-1.5186510911701465,1.1446802950414368,-1.0494638288578684
2024.10.14startup_a,INT_OTHER,39.65449542681889,74.03273851750114,3.2814075834003673,-0.3059808308422207,-0.5484383270408497,0.13749626825205552
2024.10.14startup_a,INT_HANDOFF,41.96673001657562,84.41160095836308,4.339640306225338,-0.07315535534571473,0.621848851866573,1.5878519306019048
2024.10.14startup_a,INT_HANDOFF,34.89810346589108,83.17417690898472,2.6292553770252103,-0.784915461807709,0.4823208922167929,-0.7563077361310131
2024.10.14startup_a,INT_HANDOFF,40.16398870450663,74.67377772056824,3.4842313474533118,-0.2546785040085055,-0.4761568063249676,0.4154753822110484
2024.10.14startup_a,TRANSITION,58.70349898933362,70.04208932161,4.263181837174098,1.6121175021836465,-0.998411107398922,1.4830621512544682
2024.10.14startup_a,INT_HANDOFF,48.908854082593244,85.11864456361263,2.9413379231889745,0.6258668562354833,0.7015728168836212,-0.3285845348101654
2024.10.14startup_a,TRANSITION,36.949948729156276,79.79414703890174,4.688864313753679,-0.5783093279918345,0.10119958496168599,2.066479179431565
